treatment,environment,change_rate,trait,total_reps,uncon_before_con_cnt,con_cnt,uncon_before_con_prct,subopt_plastic_before_opt_plastic_cnt,opt_plastic_cnt,subopt_plastic_before_opt_plastic_prct
ntasks_2__envs_4__cr_25__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25,all,20,7,20,0.350000,17,17,1.000000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,50,nand,20,19,20,0.950000,6,20,0.300000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,50,not,20,12,20,0.600000,3,20,0.150000
ntasks_2__envs_4__cr_50__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,50,all,20,14,20,0.700000,20,20,1.000000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,100,nand,20,19,20,0.950000,6,20,0.300000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,100,not,20,14,20,0.700000,5,20,0.250000
ntasks_2__envs_4__cr_100__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,100,all,20,15,20,0.750000,20,20,1.000000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,200,nand,20,19,20,0.950000,7,20,0.350000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,200,not,20,16,20,0.800000,9,20,0.450000
ntasks_2__envs_4__cr_200__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,200,all,20,16,20,0.800000,20,20,1.000000
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,400,nand,20,17,17,1.000000,6,13,0.461538
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,400,not,20,18,20,0.900000,7,20,0.350000
ntasks_2__envs_4__cr_400__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,400,all,20,18,20,0.900000,7,7,1.000000
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,800,nand,20,16,16,1.000000,3,13,0.230769
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,800,not,20,18,20,0.900000,11,20,0.550000
ntasks_2__envs_4__cr_800__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,800,all,20,19,20,0.950000,1,1,1.000000
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1600,nand,20,12,12,1.000000,0,9,0.000000
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1600,not,20,18,20,0.900000,14,19,0.736842
ntasks_2__envs_4__cr_1600__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,1600,all,20,18,20,0.900000,0,0,0.000000
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25000,nand,20,12,13,0.923077,0,10,0.000000
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25000,not,20,17,19,0.894737,9,16,0.562500
ntasks_2__envs_4__cr_25000__tasks_NOT_NAND__style_2__mr_p0075,ntasks_2__envs_4__tasks_NOT_NAND__style_2,25000,all,20,17,19,0.894737,0,0,0.000000
